,,,,,,,,,,
,,TRUE,DashBoard,,,,,,,
Outlet Type,SUM of Sales,AVERAGE of Sales,COUNTA of Sales,AVERAGE of Item Weight,AVERAGE of Item Visibility,AVERAGE of Rating,,Outlet Location Type,SUM of Sales,AVERAGE of Item Visibility
Grocery Store,"₹151,939.13",₹140.29,1083,12.76048015,6.94%,3.985872576,,Tier 1,"₹336,397.80",6.90%
Supermarket Type1,"₹787,549.89",₹141.21,5577,12.8495087,6.96%,3.963241886,,Tier 2,"₹393,150.64",6.89%
Supermarket Type2,"₹131,477.77",₹141.68,928,12.87334591,6.87%,3.971228448,,Tier 3,"₹472,133.02",7.08%
Supermarket Type3,"₹130,714.67",₹139.80,935,12.6,7.17%,3.952941176,,Grand Total,"₹1,201,681.46",6.97%
Grand Total,"₹1,201,681.46",₹140.99,8523,12.81341957,6.97%,3.965857093,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,Item Type,COUNT of Rating,
,,,,,,,,Baking Goods,648,
,,TRUE,DashBoard,,,,,Breads,251,
SUM of Sales,Outlet Size,,,,Item Type,SUM of Item Weight,,Breakfast,110,
Outlet Location Type,High,Medium,Small,,Baking Goods,8427.995,,Canned,649,
Tier 1,,"₹130,476.86","₹205,920.95",,Breads,3171.245,,Dairy,682,
Tier 2,"₹84,612.46","₹78,048.31","₹230,489.87",,Breakfast,1447.06,,Frozen Foods,856,
Tier 3,"₹164,379.14","₹299,370.55","₹8,383.33",,Canned,8183.215,,Fruits and Vegetables,1232,
Grand Total,"₹248,991.60","₹507,895.72","₹444,794.14",,Dairy,8767.455,,Hard Drinks,214,
,,,,,Frozen Foods,10962.01,,Health and Hygiene,520,
,,,,,Fruits and Vegetables,15752.665,,Household,910,
,,,,,Hard Drinks,2758.24,,Meat,425,
,,,,,Health and Hygiene,6700.485,,Others,169,
,,TRUE,DashBoard,,Household,11615.77,,Seafood,64,
AVERAGE of Sales,Item Fat Content,,,,Meat,5455.7,,Snack Foods,1200,
Item Type,Low Fat,Regular,Grand Total,,Others,2102.525,,Soft Drinks,445,
Baking Goods,₹137.54,₹142.53,₹140.00,,Seafood,860.65,,Starchy Foods,148,
Breads,₹144.10,₹149.14,₹146.33,,Snack Foods,15420.765,,Grand Total,8523,
Breakfast,₹147.64,₹150.55,₹149.47,,Soft Drinks,5718.195,,,,
Canned,₹140.09,₹139.15,₹139.64,,Starchy Foods,1864.8,,,,
Dairy,₹140.29,₹133.43,₹137.63,,Grand Total,109208.775,,,,
Frozen Foods,₹138.13,₹138.86,₹138.48,,,,,,,
Fruits and Vegetables,₹142.67,₹143.52,₹143.09,,,,,,,
Hard Drinks,₹141.87,,₹141.87,,,,,,,
Health and Hygiene,₹140.04,,₹140.04,,,,,,,
Household,₹140.36,,₹140.36,,Item Fat Content,SUM of Sales,,,,
Meat,₹136.70,₹135.65,₹136.07,,Low Fat,"₹776,985.41",,,,
Others,₹142.46,,₹142.46,,Regular,"₹424,696.05",,,,
Seafood,₹141.27,₹130.50,₹136.73,,Grand Total,"₹1,201,681.46",,,,
Snack Foods,₹145.72,₹144.12,₹145.04,,,,,,,
Soft Drinks,₹138.07,₹143.04,₹138.86,,,,,,,
Starchy Foods,₹135.77,₹150.61,₹142.39,,,,,,,
Grand Total,₹140.83,₹141.28,₹140.99,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,TRUE,DashBoard,,,,,,,
,,,,,,,,,,
Item Type,SUM of Sales,AVERAGE of Sales,COUNTA of Sales,AVERAGE of Item Weight,AVERAGE of Item Visibility,AVERAGE of Rating,,,,
Baking Goods,"₹90,717.88",₹140.00,648,13.00616512,7.35%,4.901851852,,,,
Breads,"₹36,728.15",₹146.33,251,12.63444223,7.02%,4.514741036,,,,
Breakfast,"₹16,441.38",₹149.47,110,13.15509091,8.76%,4.438181818,,,,
Canned,"₹90,628.28",₹139.64,649,12.60895994,7.08%,4.341910632,,,,
Dairy,"₹93,866.83",₹137.63,682,12.85550587,7.62%,4.246480938,,,,
Frozen Foods,"₹118,536.33",₹138.48,856,12.80608645,6.94%,4.13317757,,,,
Fruits and Vegetables,"₹176,283.69",₹143.09,1232,12.78625406,7.27%,3.923214286,,,,
Hard Drinks,"₹30,361.23",₹141.87,214,12.88897196,7.01%,3.677102804,,,,
Health and Hygiene,"₹72,820.49",₹140.04,520,12.88554808,5.82%,3.431538462,,,,
Household,"₹127,728.36",₹140.36,910,12.76458242,6.41%,2.793956044,,,,
Meat,"₹57,830.36",₹136.07,425,12.83694118,6.46%,4,,,,
Others,"₹24,075.45",₹142.46,169,12.44097633,6.31%,4,,,,
Seafood,"₹8,750.58",₹136.73,64,13.44765625,7.85%,4,,,,
Snack Foods,"₹174,045.70",₹145.04,1200,12.8506375,7.01%,4,,,,
Soft Drinks,"₹61,793.66",₹138.86,445,12.8498764,6.81%,4,,,,
Starchy Foods,"₹21,073.08",₹142.39,148,12.6,7.39%,4,,,,
Grand Total,"₹1,201,681.46",₹140.99,8523,12.81341957,6.97%,3.965857093,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,TRUE,DashBoard,,,,,,,
SUM of Sales,Outlet Location Type,,,,,,,,,
Item Type,Tier 1,Tier 2,Tier 3,Grand Total,,,,,,
Baking Goods,"₹27,165.95","₹34,017.72","₹29,534.22","₹90,717.88",,,,,,
