Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating,Outlet Age,Visibility Efficiency
Low Fat,FDG24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014653896,15.1,145.479,5,11,99.27667018
Regular,FDU12,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.075868843,11.8,115.349,5,1,15.20373785
Regular,FDZ47,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.079419755,13.85,165.021,5,7,20.77833154
Regular,FDT24,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.18614827,12.15,126.505,5,9,6.795926709
Low Fat,FDP24,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.083004078,19.6,55.1614,5,8,6.645625291
Regular,FDI12,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.10039894,8.89,102.402,5,3,10.19951007
Regular,FDP12,Baking Goods,2011,OUT010,Tier 3,Small,Grocery Store,0.045266806,11.8,81.4618,5,12,17.99592399
Low Fat,FDT60,Baking Goods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.075701524,19.7,96.0726,5,8,12.69097304
Low Fat,FDN24,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.11349714,20.75,124.173,5,9,10.94062811
Low Fat,FDX60,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.081050006,12.6,181.929,5,5,22.44651284
Regular,FDP48,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.044272226,12.6,109.891,5,5,24.82165681
Regular,FDI12,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.100966837,18.85,192.185,5,6,19.03446772
Regular,FDY12,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.141406394,17.1,112.389,5,1,7.947943287
Regular,FDX48,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.038102203,16.35,195.211,5,9,51.23352054
Regular,FDV60,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.118025091,12.6,173.174,5,5,14.67264279
Low Fat,FDA23,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.047178116,20.25,222.177,5,6,47.0932328
Low Fat,FDR60,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.130390458,17.85,93.7436,5,1,7.189452467
Low Fat,FDN60,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.095140088,19.2,197.611,5,11,20.77052945
Low Fat,FDU48,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.055347985,12.6,98.77,5,5,17.84527476
Low Fat,FDG60,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.060688248,12.1,178.566,5,1,29.42348904
Regular,FDR36,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.121563385,12.6,60.2194,5,5,4.953744913
Regular,FDL24,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.024891881,12.6,50.9666,5,5,20.47519028
Regular,FDM36,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.058719726,6.85,261.659,5,1,44.56066433
Low Fat,FDR48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.220111117,17.25,173.176,5,1,7.867662586
Regular,FDC60,Baking Goods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.191603334,16,76.1986,5,3,3.97689322
Regular,FDJ36,Baking Goods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.214681063,13.35,150.239,5,3,6.998241852
Low Fat,FDW23,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.081944045,6.695,221.946,5,6,27.08506762
Low Fat,FDN60,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.095545715,12.6,47.4034,5,5,4.961331861
Regular,FDE36,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.062343432,16.6,57.2614,5,7,9.184832814
Regular,FDG12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.006295472,6.92,93.1804,5,11,148.0117774
Regular,FDU24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.139484292,5.82,167.779,5,7,12.0285229
Regular,FDQ36,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.062343432,14.8,196.379,5,9,31.49954914
Regular,FDY11,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.029680868,10.1,59.9878,5,9,20.21093184
Regular,FDR36,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.121485195,7.67,35.4216,5,9,2.91571331
Low Fat,FDD36,Baking Goods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.021170542,15.6,174.305,5,3,82.33374469
Low Fat,FDQ12,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.061999648,9.31,61.651,5,9,9.943766132
Low Fat,FDQ24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.073816097,11.8,46.8402,5,8,6.345526505
Regular,FDJ36,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.128520186,13.15,88.6856,5,8,6.900519114
Low Fat,FDK24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.101275792,16.25,126.205,5,11,12.46151696
Low Fat,FDW24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.062762374,13.85,119.612,5,7,19.05791518
Low Fat,FDH48,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.101231721,6.75,95.6752,5,9,9.451108709
Low Fat,FDS12,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.175103435,12.6,62.9536,5,5,3.595223589
